Assembly,Chromosome,Plasmid
GCF_000009645.1,NC_002745.2,NC_003140.1
GCF_000009665.1,NC_002758.2,NC_002774.1
GCF_000009685.1,NC_003366.1,NC_003042.1
GCF_000009705.1,NC_003272.1,NC_003276.1
GCF_000009705.1,NC_003272.1,NC_003240.1
GCF_000009705.1,NC_003272.1,NC_003273.1
GCF_000009705.1,NC_003272.1,NC_003270.1
GCF_000009705.1,NC_003272.1,NC_003267.1
GCF_000009705.1,NC_003272.1,NC_003241.1
GCF_000009725.1,NC_000911.1,NC_005230.1
GCF_000009725.1,NC_000911.1,NC_005231.1
GCF_000009725.1,NC_000911.1,NC_005229.1
GCF_000009725.1,NC_000911.1,NC_005232.1
GCF_000009745.1,NC_005139.1,NC_005128.1
GCF_000009745.1,NC_005140.1,NC_005128.1
GCF_000009765.2,NC_003155.5,NC_004719.1
GCF_000009785.1,NC_006510.1,NC_006509.1
GCF_000009805.1,NC_006361.1,NC_006362.1
GCF_000009805.1,NC_006361.1,NC_006363.1
GCF_000009865.1,NC_007168.1,NC_007169.1
GCF_000009865.1,NC_007168.1,NC_007170.1
GCF_000009865.1,NC_007168.1,NC_007171.1
GCF_000009885.1,NC_012731.1,NC_006625.1
GCF_000009925.1,NC_006347.1,NC_006297.1
GCF_000009945.1,NC_007899.1,NC_007900.1
GCF_000010085.1,NC_007712.1,NC_007713.1
GCF_000010085.1,NC_007712.1,NC_007714.1
GCF_000010085.1,NC_007712.1,NC_007715.1
GCF_000010105.1,NC_012490.1,NC_007486.1
GCF_000010105.1,NC_012490.1,NC_007491.1
GCF_000010105.1,NC_012490.1,NC_007487.1
GCF_000010125.1,NC_007350.1,NC_007351.1
GCF_000010125.1,NC_007350.1,NC_007352.1
GCF_000010185.1,NC_010376.1,NC_010371.1
GCF_000010225.1,NC_009342.1,NC_009343.1
GCF_000010265.1,NC_011837.1,NC_011836.1
GCF_000010385.1,NC_011415.1,NC_011419.1
GCF_000010385.1,NC_011415.1,NC_011413.1
GCF_000010385.1,NC_011415.1,NC_011416.1
GCF_000010385.1,NC_011415.1,NC_011407.1
GCF_000010385.1,NC_011415.1,NC_011408.1
GCF_000010385.1,NC_011415.1,NC_011411.1
GCF_000010485.1,NC_013654.1,NC_013655.1
GCF_000010545.1,NC_010804.1,NC_010802.1
GCF_000010545.1,NC_010805.1,NC_010802.1
GCF_000010545.1,NC_010801.1,NC_010802.1
GCF_000010585.1,NC_011999.1,NC_011995.1
GCF_000010585.1,NC_011999.1,NC_011996.1
GCF_000010585.1,NC_011999.1,NC_011997.1
GCF_000010585.1,NC_011999.1,NC_011998.1
GCF_000010585.1,NC_011999.1,NC_012000.1
GCF_000010585.1,NC_011999.1,NC_012001.1
GCF_000010585.1,NC_011999.1,NC_012002.1
GCF_000010585.1,NC_011999.1,NC_012003.1
GCF_000010665.1,NC_012796.1,NC_012797.1
GCF_000010665.1,NC_012796.1,NC_012795.1
GCF_000010725.1,NC_013854.1,NC_013855.1
GCF_000010725.1,NC_013854.1,NC_013856.1
GCF_000010725.1,NC_013854.1,NC_013857.1
GCF_000010725.1,NC_013854.1,NC_013858.1
GCF_000010725.1,NC_013854.1,NC_013859.1
GCF_000010725.1,NC_013854.1,NC_013860.1
GCF_000010745.1,NC_013353.1,NC_013354.1
GCF_000010765.1,NC_013364.1,NC_013365.1
GCF_000010765.1,NC_013364.1,NC_013370.1
GCF_000010765.1,NC_013364.1,NC_013366.1
GCF_000010765.1,NC_013364.1,NC_013367.1
GCF_000010765.1,NC_013364.1,NC_013368.1
GCF_000010805.1,NC_012522.1,NC_012523.1
GCF_000010805.1,NC_012522.1,NC_006969.2
GCF_000010805.1,NC_012522.1,NC_012520.1
GCF_000010805.1,NC_012522.1,NC_006970.2
GCF_000010805.1,NC_012522.1,NC_012521.1
GCF_000010825.1,NC_013209.1,NC_013210.1
GCF_000010825.1,NC_013209.1,NC_013211.1
GCF_000010825.1,NC_013209.1,NC_013212.1
GCF_000010825.1,NC_013209.1,NC_013213.1
GCF_000010825.1,NC_013209.1,NC_013214.1
GCF_000010825.1,NC_013209.1,NC_013215.1
GCF_000010845.1,NC_017100.1,NC_017101.1
GCF_000010845.1,NC_017100.1,NC_017118.1
GCF_000010845.1,NC_017100.1,NC_017119.1
GCF_000010845.1,NC_017100.1,NC_017142.1
GCF_000010845.1,NC_017100.1,NC_017120.1
GCF_000010845.1,NC_017100.1,NC_017109.1
GCF_000010865.1,NC_017121.1,NC_017143.1
GCF_000010865.1,NC_017121.1,NC_017122.1
GCF_000010865.1,NC_017121.1,NC_017110.1
GCF_000010865.1,NC_017121.1,NC_017123.1
GCF_000010865.1,NC_017121.1,NC_017144.1
GCF_000010865.1,NC_017121.1,NC_017124.1
GCF_000010885.1,NC_017125.1,NC_017117.1
GCF_000010885.1,NC_017125.1,NC_017126.1
GCF_000010885.1,NC_017125.1,NC_017127.1
GCF_000010885.1,NC_017125.1,NC_017145.1
GCF_000010885.1,NC_017125.1,NC_017128.1
GCF_000010885.1,NC_017125.1,NC_017129.1
GCF_000010905.1,NC_017146.1,NC_017130.1
GCF_000010905.1,NC_017146.1,NC_017131.1
GCF_000010905.1,NC_017146.1,NC_017147.1
GCF_000010905.1,NC_017146.1,NC_017132.1
GCF_000010905.1,NC_017146.1,NC_017148.1
GCF_000010905.1,NC_017146.1,NC_017133.1
GCF_000010925.1,NC_017111.1,NC_017134.1
GCF_000010925.1,NC_017111.1,NC_017149.1
GCF_000010925.1,NC_017111.1,NC_017135.1
GCF_000010925.1,NC_017111.1,NC_017102.1
GCF_000010925.1,NC_017111.1,NC_017103.1
GCF_000010925.1,NC_017111.1,NC_017112.1
GCF_000010945.1,NC_017150.1,NC_017104.1
GCF_000010945.1,NC_017150.1,NC_017105.1
GCF_000010945.1,NC_017150.1,NC_017151.1
GCF_000010945.1,NC_017150.1,NC_017106.1
GCF_000010945.1,NC_017150.1,NC_017107.1
GCF_000010945.1,NC_017150.1,NC_017152.1
GCF_000010965.1,NC_017108.1,NC_017136.1
GCF_000010965.1,NC_017108.1,NC_017113.1
GCF_000010965.1,NC_017108.1,NC_017114.1
GCF_000010965.1,NC_017108.1,NC_017115.1
GCF_000010965.1,NC_017108.1,NC_017116.1
GCF_000010965.1,NC_017108.1,NC_017137.1
GCF_000010985.1,NC_013939.1,NC_013940.1
GCF_000011065.1,NC_004663.1,NC_004703.1
GCF_000011305.1,NC_004369.1,NC_004319.1
GCF_000011305.1,NC_004369.1,NC_004320.1
GCF_000011525.1,NC_002953.3,NC_005951.1
GCF_000011625.1,NC_006274.1,NC_007103.1
GCF_000011625.1,NC_006274.1,NC_007104.1
GCF_000011625.1,NC_006274.1,NC_007105.1
GCF_000011625.1,NC_006274.1,NC_007106.1
GCF_000011625.1,NC_006274.1,NC_007107.1
GCF_000011685.1,NC_006677.1,NC_006672.1
GCF_000011685.1,NC_006677.1,NC_006673.1
GCF_000011685.1,NC_006677.1,NC_006674.1
GCF_000011685.1,NC_006677.1,NC_006675.1
GCF_000011685.1,NC_006677.1,NC_006676.1
GCF_000011805.1,NC_006840.2,NC_006842.1
GCF_000011805.1,NC_006841.2,NC_006842.1
GCF_000011925.1,NC_002976.3,NC_006663.1
GCF_000011965.2,NC_003911.12,NC_006569.1
GCF_000012005.1,NC_007606.1,NC_007607.1
GCF_000012005.1,NC_007606.1,NC_009344.1
GCF_000012025.1,NC_007613.1,NC_007608.1
GCF_000012045.1,NC_002951.2,NC_006629.2
GCF_000012085.2,NC_008710.1,NZ_CP019363.1
GCF_000012085.2,NC_008710.1,NZ_CP019367.1
GCF_000012085.2,NC_008710.1,NZ_CP019362.1
GCF_000012085.2,NC_008710.1,NZ_CP019366.1
GCF_000012085.2,NC_008710.1,NZ_CP019364.1
GCF_000012085.2,NC_008710.1,NZ_CP019368.1
GCF_000012085.2,NC_008710.1,NZ_CP019365.1
GCF_000012085.2,NC_008710.1,NZ_CP019369.1
GCF_000012125.1,NC_007429.1,NC_007430.1
GCF_000012205.1,NC_005773.3,NC_007274.1
GCF_000012205.1,NC_005773.3,NC_007275.1
GCF_000012225.1,NC_007716.1,NC_007717.1
GCF_000012225.1,NC_007716.1,NC_007718.1
GCF_000012225.1,NC_007716.1,NC_007719.1
GCF_000012225.1,NC_007716.1,NC_007720.1
GCF_000012805.1,NC_007484.1,NC_007483.1
GCF_000012925.1,NC_007517.1,NC_007515.1
GCF_000013045.1,NC_007677.1,NC_007678.1
GCF_000013065.1,NC_011969.1,NC_011971.1
GCF_000013065.1,NC_011969.1,NC_011973.1
GCF_000013085.1,NC_007643.1,NC_007641.1
GCF_000013245.1,NC_008086.1,NC_008087.1
GCF_000013265.1,NC_007946.1,NC_007941.1
GCF_000013325.1,NC_007794.1,NC_009426.1
GCF_000013325.1,NC_007794.1,NC_009427.1
GCF_000013465.1,NC_007793.1,NC_007790.1
GCF_000013465.1,NC_007793.1,NC_007791.1
GCF_000013465.1,NC_007793.1,NC_007792.1
GCF_000013565.1,NC_007802.1,NC_007801.1
GCF_000013605.1,NC_007908.1,NC_007901.1
GCF_000013805.1,NC_008149.1,NC_008118.1
GCF_000013805.1,NC_008149.1,NC_008119.1
GCF_000013825.1,NC_008150.1,NC_008122.1
GCF_000013825.1,NC_008150.1,NC_008120.1
GCF_000013825.1,NC_008150.1,NC_008121.1
GCF_000013845.2,NC_008262.1,NC_008263.1
GCF_000013845.2,NC_008262.1,NC_008264.1
GCF_000013865.1,NC_007948.1,NC_007949.1
GCF_000013865.1,NC_007948.1,NC_007950.1
GCF_000013885.1,NC_007964.1,NC_007959.1
GCF_000013885.1,NC_007964.1,NC_007960.1
GCF_000013885.1,NC_007964.1,NC_007961.1
GCF_000013905.1,NC_007969.1,NC_007968.1
GCF_000013925.1,NC_008611.1,NC_005916.1
GCF_000013985.1,NC_008048.1,NC_008036.1
GCF_000014045.1,NC_008209.1,NC_008386.1
GCF_000014045.1,NC_008209.1,NC_008387.1
GCF_000014045.1,NC_008209.1,NC_008388.1
GCF_000014045.1,NC_008209.1,NC_008389.1
GCF_000014065.1,NC_008044.1,NC_008043.1
GCF_000014065.1,NC_008044.1,NC_008042.1
GCF_000014445.1,NC_008531.1,NC_008496.1
GCF_000014465.1,NC_008497.1,NC_008498.1
GCF_000014465.1,NC_008497.1,NC_008499.1
GCF_000014485.1,NC_008532.1,NC_008500.1
GCF_000014485.1,NC_008532.1,NC_008501.1
GCF_000014525.1,NC_008526.1,NC_008502.1
GCF_000014545.1,NC_008527.1,NC_008503.1
GCF_000014545.1,NC_008527.1,NC_008504.1
GCF_000014545.1,NC_008527.1,NC_008505.1
GCF_000014545.1,NC_008527.1,NC_008506.1
GCF_000014545.1,NC_008527.1,NC_008507.1
GCF_000014565.1,NC_008268.1,NC_008269.1
GCF_000014565.1,NC_008268.1,NC_008270.1
GCF_000014565.1,NC_008268.1,NC_008271.1
GCF_000014765.1,NC_008344.1,NC_008341.1
GCF_000014765.1,NC_008344.1,NC_008342.1
GCF_000014925.1,NC_008711.1,NC_008712.1
GCF_000014925.1,NC_008711.1,NC_008713.1
GCF_000015045.1,NC_008609.1,NC_008607.1
GCF_000015045.1,NC_008609.1,NC_008608.1
GCF_000015065.1,NC_008600.1,NC_008598.1
GCF_000015165.1,NC_009485.1,NC_009475.1
GCF_000015265.1,NC_008699.1,NC_008697.1
GCF_000015365.1,NC_008740.1,NC_008738.1
GCF_000015365.1,NC_008740.1,NC_008739.1
GCF_000015485.1,NC_008751.1,NC_008741.1
GCF_000015505.1,NC_008781.1,NC_008757.1
GCF_000015505.1,NC_008781.1,NC_008758.1
GCF_000015505.1,NC_008781.1,NC_008759.1
GCF_000015505.1,NC_008781.1,NC_008760.1
GCF_000015505.1,NC_008781.1,NC_008761.1
GCF_000015505.1,NC_008781.1,NC_008762.1
GCF_000015505.1,NC_008781.1,NC_008763.1
GCF_000015505.1,NC_008781.1,NC_008764.1
GCF_000015525.1,NC_008787.1,NC_008790.1
GCF_000015525.1,NC_008787.1,NC_008770.1
GCF_000015565.1,NC_008786.1,NC_008771.1
GCF_000015725.1,NC_008825.1,NC_008826.1
GCF_000015745.1,NC_009328.1,NC_009329.1
GCF_000015845.1,NC_009052.1,NC_009035.1
GCF_000015845.1,NC_009052.1,NC_009036.1
GCF_000015845.1,NC_009052.1,NC_009037.1
GCF_000015845.1,NC_009052.1,NC_009038.1
GCF_000016045.1,NC_011080.1,NC_011079.1
GCF_000016045.1,NC_011080.1,NC_009140.1
GCF_000016265.1,NC_011985.1,NC_011994.1
GCF_000016265.1,NC_011985.1,NC_011990.1
GCF_000016265.1,NC_011985.1,NC_011987.1
GCF_000016265.1,NC_011983.1,NC_011994.1
GCF_000016265.1,NC_011983.1,NC_011990.1
GCF_000016265.1,NC_011983.1,NC_011987.1
GCF_000016285.1,NC_011989.1,NC_011986.1
GCF_000016285.1,NC_011989.1,NC_011991.1
GCF_000016285.1,NC_011989.1,NC_011984.1
GCF_000016285.1,NC_011989.1,NC_011981.1
GCF_000016285.1,NC_011989.1,NC_011982.1
GCF_000016285.1,NC_011988.1,NC_011986.1
GCF_000016285.1,NC_011988.1,NC_011991.1
GCF_000016285.1,NC_011988.1,NC_011984.1
GCF_000016285.1,NC_011988.1,NC_011981.1
GCF_000016285.1,NC_011988.1,NC_011982.1
GCF_000016305.1,NC_009648.1,NC_009649.1
GCF_000016305.1,NC_009648.1,NC_009650.1
GCF_000016305.1,NC_009648.1,NC_009651.1
GCF_000016305.1,NC_009648.1,NC_009652.1
GCF_000016305.1,NC_009648.1,NC_009653.1
GCF_000016445.1,NC_009381.1,NC_009377.1
GCF_000016445.1,NC_009381.1,NC_009378.1
GCF_000016505.1,NC_009706.1,NC_009466.1
GCF_000016625.1,NC_009900.1,NC_009897.1
GCF_000016725.1,NC_009484.1,NC_009467.1
GCF_000016725.1,NC_009484.1,NC_009468.1
GCF_000016725.1,NC_009484.1,NC_009469.1
GCF_000016725.1,NC_009484.1,NC_009470.1
GCF_000016725.1,NC_009484.1,NC_009471.1
GCF_000016725.1,NC_009484.1,NC_009472.1
GCF_000016725.1,NC_009484.1,NC_009473.1
GCF_000016725.1,NC_009484.1,NC_009474.1
GCF_000016805.1,NC_009487.1,NC_009477.1
GCF_000016945.1,NC_009708.1,NC_009704.1
GCF_000016945.1,NC_009708.1,NC_009705.1
GCF_000017065.1,NC_009699.1,NC_009700.1
GCF_000017085.1,NC_010079.1,NC_012417.1
GCF_000017085.1,NC_010079.1,NC_010063.1
GCF_000017105.1,NC_009727.1,NC_009726.1
GCF_000017145.1,NC_009636.1,NC_009620.1
GCF_000017145.1,NC_009636.1,NC_009621.1
GCF_000017145.1,NC_009636.1,NC_009622.1
GCF_000017265.1,NC_011144.1,NC_011143.1
GCF_000017305.1,NC_009664.2,NC_009806.1
GCF_000017305.1,NC_009664.2,NC_009660.1
GCF_000017325.1,NC_009665.1,NC_009661.1
GCF_000017405.1,NC_009667.1,NC_009669.1
GCF_000017405.1,NC_009667.1,NC_009670.1
GCF_000017405.1,NC_009667.1,NC_009671.1
GCF_000017405.1,NC_009667.1,NC_009672.1
GCF_000017405.1,NC_009668.1,NC_009669.1
GCF_000017405.1,NC_009668.1,NC_009670.1
GCF_000017405.1,NC_009668.1,NC_009671.1
GCF_000017405.1,NC_009668.1,NC_009672.1
GCF_000017425.1,NC_009674.1,NC_009673.1
GCF_000017585.1,NC_009714.1,NC_009713.1
GCF_000017605.1,NC_010842.1,NC_010846.1
GCF_000017605.1,NC_010845.1,NC_010846.1
GCF_000017665.1,NC_009778.1,NC_009779.1
GCF_000017665.1,NC_009778.1,NC_009780.1
GCF_000017685.1,NC_010602.1,NC_010844.1
GCF_000017685.1,NC_010843.1,NC_010844.1
GCF_000017705.1,NC_009783.1,NC_009777.1
GCF_000017705.1,NC_009784.1,NC_009777.1
GCF_000017725.2,NC_009802.2,NC_009796.1
GCF_000017725.2,NC_009802.2,NC_009795.1
GCF_000017745.1,NC_009801.1,NC_009791.1
GCF_000017745.1,NC_009801.1,NC_009789.1
GCF_000017745.1,NC_009801.1,NC_009787.1
GCF_000017745.1,NC_009801.1,NC_009788.1
GCF_000017745.1,NC_009801.1,NC_009790.1
GCF_000017745.1,NC_009801.1,NC_009786.1
GCF_000017845.1,NC_010546.1,NC_010539.1
GCF_000017845.1,NC_010546.1,NC_010541.1
GCF_000017845.1,NC_010546.1,NC_010543.1
GCF_000017845.1,NC_010546.1,NC_010542.1
GCF_000017845.1,NC_010547.1,NC_010539.1
GCF_000017845.1,NC_010547.1,NC_010541.1
GCF_000017845.1,NC_010547.1,NC_010543.1
GCF_000017845.1,NC_010547.1,NC_010542.1
GCF_000018045.1,NC_009792.1,NC_009794.1
GCF_000018045.1,NC_009792.1,NC_009793.1
GCF_000018105.1,NC_009925.1,NC_009926.1
GCF_000018105.1,NC_009925.1,NC_009927.1
GCF_000018105.1,NC_009925.1,NC_009928.1
GCF_000018105.1,NC_009925.1,NC_009929.1
GCF_000018105.1,NC_009925.1,NC_009930.1
GCF_000018105.1,NC_009925.1,NC_009931.1
GCF_000018105.1,NC_009925.1,NC_009932.1
GCF_000018105.1,NC_009925.1,NC_009933.1
GCF_000018105.1,NC_009925.1,NC_009934.1
GCF_000018145.1,NC_009952.1,NC_009955.1
GCF_000018145.1,NC_009952.1,NC_009956.1
GCF_000018145.1,NC_009952.1,NC_009957.1
GCF_000018145.1,NC_009952.1,NC_009958.1
GCF_000018145.1,NC_009952.1,NC_009959.1
GCF_000018345.1,NC_010612.1,NC_010604.1
GCF_000018385.1,NC_012125.1,NC_012124.1
GCF_000018445.1,NC_010611.1,NC_010605.1
GCF_000018445.1,NC_010611.1,NC_010606.1
GCF_000018505.1,NC_010084.1,NC_010070.1
GCF_000018505.1,NC_010086.1,NC_010070.1
GCF_000018505.1,NC_010087.1,NC_010070.1
GCF_000018745.1,NC_010117.1,NC_010115.1
GCF_000018765.1,NC_009997.1,NC_009998.1
GCF_000018765.1,NC_009997.1,NC_009999.1
GCF_000018765.1,NC_009997.1,NC_010000.1
GCF_000018805.1,NC_010159.1,NC_010157.1
GCF_000018805.1,NC_010159.1,NC_010158.1
GCF_000018825.1,NC_010184.1,NC_010180.1
GCF_000018825.1,NC_010184.1,NC_010181.1
GCF_000018825.1,NC_010184.1,NC_010182.1
GCF_000018825.1,NC_010184.1,NC_010183.1
GCF_000019205.1,NC_012039.1,NC_012040.1
GCF_000019245.4,NC_014334.2,NC_011352.1
GCF_000019305.1,NC_010516.1,NC_010379.1
GCF_000019485.1,NC_010475.1,NC_010476.1
GCF_000019485.1,NC_010475.1,NC_010477.1
GCF_000019485.1,NC_010475.1,NC_010478.1
GCF_000019485.1,NC_010475.1,NC_010479.1
GCF_000019485.1,NC_010475.1,NC_010480.1
GCF_000019485.1,NC_010475.1,NC_010474.1
GCF_000019545.1,NC_010520.1,NC_010418.1
GCF_000019565.1,NC_011283.1,NC_011281.1
GCF_000019565.1,NC_011283.1,NC_011282.1
GCF_000019645.1,NC_010498.1,NC_010488.1
GCF_000019645.1,NC_010498.1,NC_010487.1
GCF_000019645.1,NC_010498.1,NC_010486.1
GCF_000019645.1,NC_010498.1,NC_010485.1
GCF_000019705.1,NC_011244.1,NC_011263.1
GCF_000019705.1,NC_011244.1,NC_011252.1
GCF_000019705.1,NC_011244.1,NC_011253.1
GCF_000019705.1,NC_011244.1,NC_011255.1
GCF_000019705.1,NC_011244.1,NC_011258.1
GCF_000019705.1,NC_011244.1,NC_011260.1
GCF_000019705.1,NC_011244.1,NC_011246.1
GCF_000019725.1,NC_010505.1,NC_010510.1
GCF_000019725.1,NC_010505.1,NC_010509.1
GCF_000019725.1,NC_010505.1,NC_010514.1
GCF_000019725.1,NC_010505.1,NC_010517.1
GCF_000019725.1,NC_010505.1,NC_010518.1
GCF_000019725.1,NC_010505.1,NC_010502.1
GCF_000019725.1,NC_010505.1,NC_010504.1
GCF_000019725.1,NC_010505.1,NC_010507.1
GCF_000019765.1,NC_010577.1,NC_010579.1
GCF_000019845.1,NC_010581.1,NC_010580.1
GCF_000019845.1,NC_010581.1,NC_010578.1
GCF_000019885.1,NC_011528.1,NC_011526.1
GCF_000019905.1,NC_010556.1,NC_010549.1
GCF_000019905.1,NC_010556.1,NC_010550.1
GCF_000019925.1,NC_010551.1,NC_010553.1
GCF_000019925.1,NC_010552.1,NC_010553.1
GCF_000019925.1,NC_010557.1,NC_010553.1
GCF_000019945.1,NC_010725.1,NC_010727.1
GCF_000019945.1,NC_010725.1,NC_010721.1
GCF_000020005.1,NC_010718.1,NC_010715.1
GCF_000020005.1,NC_010718.1,NC_010724.1
GCF_000020025.1,NC_010628.1,NC_010631.1
GCF_000020025.1,NC_010628.1,NC_010632.1
GCF_000020025.1,NC_010628.1,NC_010630.1
GCF_000020025.1,NC_010628.1,NC_010633.1
GCF_000020025.1,NC_010628.1,NC_010629.1
GCF_000020045.1,NC_010622.1,NC_010625.1
GCF_000020045.1,NC_010622.1,NC_010627.1
GCF_000020045.1,NC_010623.1,NC_010625.1
GCF_000020045.1,NC_010623.1,NC_010627.1
GCF_000020105.1,NC_011035.1,NC_011034.1
GCF_000020125.1,NC_010681.1,NC_010679.1
GCF_000020125.1,NC_010676.1,NC_010679.1
GCF_000020165.1,NC_010674.1,NC_010680.1
GCF_000020185.1,NC_010658.1,NC_010656.1
GCF_000020185.1,NC_010658.1,NC_010660.1
GCF_000020185.1,NC_010658.1,NC_010657.1
GCF_000020185.1,NC_010658.1,NC_010659.1
GCF_000020185.1,NC_010658.1,NC_010672.1
GCF_000020265.1,NC_010994.1,NC_010998.1
GCF_000020265.1,NC_010994.1,NC_010996.1
GCF_000020265.1,NC_010994.1,NC_010997.1
GCF_000020345.1,NC_012658.1,NC_012654.1
GCF_000020345.1,NC_012658.1,NC_012657.1
GCF_000020365.1,NC_012108.1,NC_012109.1
GCF_000020385.1,NC_010814.1,NC_010815.1
GCF_000020405.1,NC_010939.1,NC_010941.1
GCF_000020405.1,NC_010939.1,NC_010942.1
GCF_000020405.1,NC_010939.1,NC_010940.1
GCF_000020625.1,NC_011059.1,NC_011061.1
GCF_000020685.1,NC_012526.1,NC_012527.1
GCF_000020685.1,NC_012526.1,NC_012529.1
GCF_000020685.1,NC_012526.1,NC_012528.1
GCF_000020705.1,NC_011083.1,NC_011082.1
