Plasmid,%GC,Size_bp,GC_bp,Putative_plasmid_T6SS,Transmissible_plasmid
NZ_CP073868.1,28.54826823876197,13570,3874,Absent,Transmissible
NZ_KT693144.1,49.42416074491546,4081,2017,Absent,Transmissible
NZ_CP008843.1,53.02680108187853,183015,97047,Absent,Transmissible
NZ_LC511658.1,46.42459654980523,294708,136817,Absent,Transmissible
NZ_CP063001.1,46.94244604316547,3336,1566,Absent,Non-transmissible
NZ_CP044667.1,27.353463587921848,1689,462,Absent,Non-transmissible
NZ_CP042139.1,34.0,250,85,Absent,Non-transmissible
NZ_CP013541.1,60.91746919152156,1144409,697145,T6SS,Transmissible
NZ_CP046953.1,47.70909090909091,2750,1312,Absent,Transmissible
NZ_CP030831.1,56.82717203682394,222464,126420,Absent,Non-transmissible
NZ_CP083870.1,56.42640154653411,18105,10216,Absent,Non-transmissible
NZ_CP058198.1,51.884461490236575,108466,56277,Absent,Non-transmissible
NC_010857.1,61.84640522875817,4896,3028,Absent,Transmissible
NZ_CP067766.1,53.473904786850895,15271,8166,Absent,Non-transmissible
NZ_CP029728.1,41.33925198337741,31764,13131,Absent,Transmissible
NZ_CP062793.1,52.73008652826704,116956,61671,Absent,Transmissible
NZ_CP068836.1,51.14296160877514,68375,34969,Absent,Transmissible
NZ_MK413719.1,46.78985328566145,194664,91083,Absent,Non-transmissible
NZ_CP019908.1,41.84182080230603,33304,13935,Absent,Transmissible
NZ_CP084814.1,43.89305246100871,4937,2167,Absent,Non-transmissible
NC_002115.1,53.37671079201257,4457,2379,Absent,Non-transmissible
NZ_CP093838.1,35.618043350908025,52917,18848,Absent,Non-transmissible
NZ_CP017451.1,49.04662586476106,526446,258204,Absent,Transmissible
NZ_CP014217.1,35.041171088746566,5465,1915,Absent,Non-transmissible
NZ_CP097641.1,36.020680892082545,22823,8221,Absent,Non-transmissible
NZ_CP058310.1,49.29777240385062,129018,63603,Absent,Transmissible
NZ_CP091303.1,35.071768892105425,66324,23261,Absent,Non-transmissible
NZ_LR890720.1,51.91007322995366,103373,53661,Absent,Non-transmissible
NZ_CP054036.1,61.40585590525277,273570,167988,Absent,Non-transmissible
NZ_CP022660.1,51.30105135810446,290957,149264,Absent,Non-transmissible
NZ_AP025027.1,38.60170063436361,14818,5720,Absent,Non-transmissible
NC_008053.1,47.43504330446369,3002,1424,Absent,Non-transmissible
NZ_CP017929.1,54.177092082578135,113105,61277,Absent,Transmissible
NC_025023.1,48.94572432643498,5122,2507,Absent,Non-transmissible
NZ_CP035967.1,32.919728546761434,249030,81980,Absent,Transmissible
NZ_CP022826.1,51.84890421659224,67851,35180,Absent,Transmissible
NZ_CP025904.1,47.06062649420707,97878,46062,Absent,Non-transmissible
NC_009472.1,60.99533082792393,8781,5356,Absent,Transmissible
NZ_CP055603.1,49.6180053685732,33901,16821,Absent,Non-transmissible
NZ_CP028100.1,42.7597081845125,105272,45014,Absent,Non-transmissible
NZ_CP016088.1,33.37874659400545,2936,980,Absent,Transmissible
NZ_CP090918.1,29.46756425948593,9804,2889,Absent,Transmissible
NZ_MG825375.1,54.68699147659803,113687,62172,Absent,Transmissible
NZ_AP018675.1,55.059642147117295,10060,5539,Absent,Transmissible
NZ_CP005087.1,61.68083528270668,87635,54054,Absent,Transmissible
NZ_CP024291.1,48.629775195394686,111697,54318,Absent,Transmissible
NZ_OU015348.1,35.052294786653405,37193,13037,Absent,Non-transmissible
NZ_AP019787.1,58.34430502189859,37217,21714,Absent,Non-transmissible
NC_020910.1,54.36959475961749,159683,86819,Absent,Non-transmissible
NZ_AP014654.1,46.15458843964103,145082,66962,Absent,Non-transmissible
NZ_CP018905.1,33.07024550193375,95152,31467,Absent,Transmissible
NZ_CP083733.1,55.36136041568257,4234,2344,Absent,Transmissible
NZ_AP025775.1,47.30098752965575,368394,174254,Absent,Transmissible
NZ_CP024348.1,25.624687656171915,8004,2051,Absent,Non-transmissible
NZ_CP027121.1,33.621801539421675,72105,24243,Absent,Transmissible
NZ_CP085408.1,34.575054318732874,95271,32940,Absent,Non-transmissible
NZ_CP010378.1,52.8528426962492,59134,31254,Absent,Transmissible
NZ_MT920905.1,53.78020163675483,153841,82736,Absent,Transmissible
NZ_CP022225.1,65.7750037152623,13458,8852,Absent,Transmissible
NZ_CP016740.1,33.63354495792116,13546,4556,Absent,Non-transmissible
NZ_CP073870.1,27.141750580945004,6455,1752,Absent,Non-transmissible
NZ_CP019926.1,27.286628532593305,52971,14454,Absent,Non-transmissible
NZ_CP059287.1,49.049610843437286,37774,18528,Absent,Transmissible
NC_008382.1,57.62186271146182,151564,87334,Absent,Transmissible
NC_001371.1,48.43514896178152,6646,3219,Absent,Transmissible
NZ_CP075901.1,37.91968400263331,68355,25920,Absent,Transmissible
NZ_CP077998.1,61.6235259578216,40874,25188,Absent,Transmissible
NZ_CP011478.1,49.86204178163185,12685,6325,Absent,Transmissible
NZ_CP054987.1,49.05326249829724,110115,54015,Absent,Non-transmissible
NZ_CP095219.1,29.910714285714285,3360,1005,Absent,Non-transmissible
NZ_CP021977.1,39.36703422597737,6983,2749,Absent,Transmissible
NZ_CP050391.1,34.37177871950521,8731,3001,Absent,Non-transmissible
NZ_LT984799.1,59.8376607884171,586796,351125,Absent,Transmissible
NZ_CP054663.1,48.085337656714906,108557,52200,Absent,Transmissible
NC_018992.1,24.111068260701888,12965,3126,Absent,Non-transmissible
NZ_CP077101.1,39.67419863373621,1903,755,Absent,Non-transmissible
NZ_CP065954.1,51.45917295237498,63769,32815,Absent,Transmissible
NZ_CP019603.1,63.501137704974,761621,483638,Absent,Non-transmissible
NC_019211.1,40.55498458376156,4865,1973,Absent,Transmissible
NZ_CP032881.1,47.10641645128666,8899,4192,Absent,Transmissible
NZ_CP063699.1,50.23994881092034,28131,14133,Absent,Non-transmissible
NZ_CP043797.1,27.670294236195083,9924,2746,Absent,Transmissible
NZ_CP015419.1,68.91121656371783,113163,77982,Absent,Non-transmissible
NZ_MF489760.1,47.29734906527735,52208,24693,Absent,Transmissible
NZ_CP091888.1,32.50645105797351,29065,9448,Absent,Non-transmissible
NZ_CP043722.1,35.74926542605289,1021,365,Absent,Non-transmissible
NZ_LR890731.1,56.72635445362718,8712,4942,Absent,Non-transmissible
NZ_CP008718.1,51.60815123987233,4073,2102,Absent,Transmissible
NZ_CP032792.1,47.61931126121139,90310,43005,Absent,Non-transmissible
NZ_CP053078.1,28.810160427807485,2992,862,Absent,Non-transmissible
NZ_CP031069.1,32.19954214120825,626394,201696,Absent,Non-transmissible
NZ_CP020824.1,51.95715151923466,59372,30848,Absent,Non-transmissible
NZ_CP067812.1,29.332643559234352,3866,1134,Absent,Non-transmissible
NZ_LR135412.1,34.212977336230985,3221,1102,Absent,Non-transmissible
NZ_CP045387.1,59.71577911538806,78249,46727,Absent,Transmissible
NZ_MT849284.1,33.60376294473495,78024,26219,Absent,Transmissible
NZ_AP021948.1,50.07421150278293,91630,45883,Absent,Transmissible
NZ_CP039976.1,51.74073501435208,148759,76969,Absent,Transmissible
NZ_CP058747.1,54.7951176983435,4588,2514,Absent,Non-transmissible
NZ_CP054777.1,53.94683965784488,87095,46985,Absent,Transmissible
NZ_CP034329.1,61.839232360376926,139232,86100,Absent,Transmissible
NZ_MT269832.1,53.54513053389539,165819,88788,Absent,Transmissible
NZ_CP038924.1,39.007226601981,158304,61750,Absent,Non-transmissible
NZ_CP053966.1,35.45738163360975,61863,21935,Absent,Non-transmissible
NZ_CP045709.1,38.3779588668995,5154,1978,Absent,Non-transmissible
NZ_CP086602.1,68.49608228918574,86913,59532,Absent,Transmissible
NZ_CP012659.1,40.78560676654004,41853,17070,Absent,Transmissible
NZ_CP086958.1,65.34598078560136,82230,53734,Absent,Non-transmissible
NZ_AP024799.1,36.74446179651802,69156,25411,Absent,Non-transmissible
NZ_CP067310.1,45.95504357257733,53474,24574,Absent,Non-transmissible
NZ_CP044818.1,30.617977528089888,3560,1090,Absent,Non-transmissible
NZ_CP070412.1,50.29312830370014,10405,5233,Absent,Non-transmissible
NZ_CP048655.1,39.86327317481226,104003,41459,Absent,Non-transmissible
NC_025249.1,34.62689578639405,59474,20594,Absent,Non-transmissible
NZ_CP072135.1,42.74032286528036,855651,365708,Absent,Non-transmissible
NZ_CP078148.1,47.71551339013752,369339,176232,Absent,Transmissible
NC_013393.1,30.42599836650475,23263,7078,Absent,Non-transmissible
NZ_MN335919.1,53.93603010348072,106300,57334,Absent,Transmissible
NZ_CP076240.1,43.40592861464005,3306,1435,Absent,Non-transmissible
NZ_LC492469.1,52.129961006356496,149768,78074,Absent,Non-transmissible
NZ_CP014988.1,43.9235360262953,80927,35546,Absent,Non-transmissible
NZ_CP042075.1,30.105263157894736,475,143,Absent,Non-transmissible
NZ_CP074058.1,26.031338299511944,38930,10134,Absent,Non-transmissible
NZ_CP020573.1,33.51517355639067,74241,24882,Absent,Transmissible
NZ_CP051613.1,32.24557522123894,1808,583,Absent,Non-transmissible
NZ_CP040756.1,56.43791091083696,13537,7640,Absent,Transmissible
NZ_CP069466.1,51.1378002528445,1582,809,Absent,Non-transmissible
NZ_CP047278.1,52.256805542004095,256225,133895,Absent,Transmissible
NZ_CP053968.1,32.7858361774744,4688,1537,Absent,Transmissible
NZ_CP032150.1,33.6381197681906,23295,7836,Absent,Non-transmissible
NZ_MK962305.1,44.99797830791037,225059,101272,Absent,Transmissible
NZ_CP084211.1,54.492189400944085,102745,55988,Absent,Transmissible
NZ_EF219134.1,51.03688023818128,58107,29656,Absent,Transmissible
NZ_CP033798.1,50.82101410892281,103835,52770,Absent,Non-transmissible
NC_013746.1,54.729755892488704,180781,98941,Absent,Non-transmissible
NZ_CP022360.1,40.81496325985304,10479,4277,Absent,Non-transmissible
NZ_CP064207.1,48.781478472786354,2462,1201,Absent,Non-transmissible
NZ_CP084238.1,30.053908355795148,18550,5575,Absent,Non-transmissible
NZ_CP018643.1,52.41617854978792,118824,62283,Absent,Transmissible
NZ_CP083876.1,54.68607283269132,50362,27541,Absent,Non-transmissible
NZ_CP092799.1,51.14367405289492,5596,2862,Absent,Transmissible
NZ_MG869620.1,59.64140771700285,82545,49231,Absent,Non-transmissible
NZ_CP019922.1,23.11904761904762,16800,3884,Absent,Non-transmissible
NZ_CP015735.1,62.96592597430162,61249,38566,Absent,Transmissible
NZ_OW970443.1,41.49268058555315,4167,1729,Absent,Non-transmissible
NZ_CP009703.1,44.62938919604954,68549,30593,Absent,Non-transmissible
NZ_MN175502.1,52.01966123127441,196122,102022,Absent,Transmissible
NZ_CP013503.1,61.85755881830537,501077,309954,Absent,Non-transmissible
NZ_LR890539.1,47.52130131680868,5164,2454,Absent,Transmissible
NZ_CP080357.1,49.44888696779771,4627,2288,Absent,Non-transmissible
NZ_CP024566.1,50.68106777100006,89345,45281,Absent,Non-transmissible
NZ_CP085527.1,60.44644734076098,1217792,736112,Absent,Transmissible
NZ_CP023830.1,41.64252424738632,7939,3306,Absent,Transmissible
NC_022652.1,52.35605886032195,151885,79521,Absent,Transmissible
NZ_CP001971.2,32.5288412343003,181771,59128,Absent,Non-transmissible
NZ_CP084841.1,35.7281083696178,4134,1477,Absent,Transmissible
NZ_CP016746.1,33.832181945199096,193245,65379,Absent,Non-transmissible
NZ_CP023148.1,64.34072940576384,19605,12614,Absent,Transmissible
NZ_CP059890.1,53.02367175170963,95050,50399,Absent,Transmissible
NZ_CP023958.1,47.08946078431372,3264,1537,Absent,Non-transmissible
NZ_LN824136.1,48.59264824875737,34604,16815,Absent,Transmissible
NZ_CP083833.1,54.93414387031408,4935,2711,Absent,Transmissible
NZ_CP092200.1,32.887594333377464,7553,2484,Absent,Non-transmissible
NZ_CP037804.1,24.46280991735537,6655,1628,Absent,Non-transmissible
NZ_AP018832.1,51.73851354901995,57089,29537,Absent,Non-transmissible
NZ_LR217719.1,33.47841857091041,2757,923,Absent,Non-transmissible
NZ_MH785239.1,35.64493758668516,1442,514,Absent,Non-transmissible
NZ_CP088121.1,46.58384179960303,272060,126736,Absent,Transmissible
NZ_CP073358.1,40.36908881199539,5202,2100,Absent,Non-transmissible
NZ_MT219826.1,51.14266605767976,122608,62705,Absent,Non-transmissible
NZ_CP008717.1,40.75997167807411,4237,1727,Absent,Non-transmissible
NZ_CP095174.1,48.96299308662058,4918,2408,Absent,Transmissible
NZ_CP044769.1,35.13513513513514,222,78,Absent,Non-transmissible
NZ_CP060917.1,49.08980336509224,24665,12108,Absent,Non-transmissible
NZ_CP026694.1,42.23011543828492,63064,26632,Absent,Transmissible
NZ_AP022515.1,47.12126301645952,89310,42084,Absent,Transmissible
NZ_CP047580.1,43.08749446704466,47443,20442,Absent,Transmissible
NC_015854.1,58.83046054403447,29704,17475,Absent,Transmissible
NZ_CP015808.1,23.57721771955146,45035,10618,Absent,Non-transmissible
NZ_CP054767.1,51.12580414581844,5596,2861,Absent,Transmissible
NZ_CP013272.1,58.9377793056033,5818,3429,Absent,Transmissible
NZ_CP066660.1,35.18696324745292,187470,65965,Absent,Non-transmissible
NZ_CP009168.1,48.08075063974979,94959,45657,Absent,Non-transmissible
NZ_CP020547.1,50.1326197685609,127809,64074,Absent,Transmissible
NZ_CP029688.1,49.50980714911212,151879,75195,Absent,Transmissible
NC_022092.1,46.121276274005744,39678,18300,Absent,Non-transmissible
NZ_CP070925.1,48.02575363154025,50323,24168,Absent,Transmissible
NZ_CP040070.1,51.56918687589158,82718,42657,Absent,Non-transmissible
NZ_CP062932.1,3.4182745080705166,135741,4640,Absent,Non-transmissible
NZ_MF774184.1,41.84454651895884,33309,13938,Absent,Transmissible
NZ_CP064696.1,60.57967941098232,537573,325660,Absent,Transmissible
NZ_CP015251.1,32.79531748847109,174778,57319,Absent,Non-transmissible
NZ_AF010180.1,58.78258054071556,24708,14524,Absent,Transmissible
NZ_CP076172.1,33.05312674689646,94811,31338,Absent,Transmissible
NZ_CP039146.1,42.46846334159858,73803,31343,Absent,Non-transmissible
NZ_CP050252.1,27.651680488869488,13746,3801,Absent,Non-transmissible
NZ_CP055337.1,49.09638554216868,4316,2119,Absent,Transmissible
NZ_CP083893.1,44.99956480111411,11489,5170,Absent,Transmissible
NZ_CP092374.1,38.24374483617575,162186,62026,Absent,Non-transmissible
NZ_CP018815.1,54.03953066270312,139942,75624,Absent,Transmissible
NC_017116.1,55.782537067545306,3035,1693,Absent,Transmissible
NZ_CP017081.1,35.14176507501854,87645,30800,Absent,Non-transmissible
NZ_FR989778.1,62.29570505511212,144705,90145,Orphan island,Non-transmissible
NZ_CP025279.1,50.32724283040708,92439,46522,Absent,Transmissible
NZ_CP016687.1,34.5724187334224,51651,17857,Absent,Non-transmissible
NZ_CP037109.1,28.584392014519057,1102,315,Absent,Non-transmissible
NZ_CP044481.1,34.27891965347376,5887,2018,Absent,Transmissible
NZ_CP072221.1,43.596520207025655,9081,3959,Absent,Transmissible
NZ_AF411480.1,54.51343155573253,32647,17797,Absent,Transmissible
NZ_AP025215.1,45.87730216281545,110874,50866,Absent,Non-transmissible
NZ_CP012925.1,55.58206106870229,2096,1165,Absent,Non-transmissible
NZ_CP092257.1,42.78728606356968,4499,1925,Absent,Non-transmissible
NZ_AP017930.1,35.9671709044094,6214,2235,Absent,Non-transmissible
NZ_CP095236.1,53.21678084514685,58972,31383,Absent,Non-transmissible
NZ_AP024580.1,51.63466999886403,220075,113635,Absent,Transmissible
NZ_CP061121.1,51.947463768115945,2208,1147,Absent,Non-transmissible
NZ_CP079933.1,36.16227906629875,13409,4849,Absent,Non-transmissible
NC_007068.1,63.66141732283464,2540,1617,Absent,Non-transmissible
NZ_CP087700.1,34.37851792924366,66623,22904,Absent,Transmissible
NZ_CP053979.1,33.35116318317167,349601,116596,Absent,Non-transmissible
NZ_CP076200.1,33.06366439947615,94684,31306,Absent,Transmissible
NZ_CP023073.1,58.01206467499642,76753,44526,Absent,Non-transmissible
NZ_CP087764.1,32.419173928584634,81131,26302,Absent,Transmissible
NZ_CP016719.1,31.528476201613845,8551,2696,Absent,Non-transmissible
NZ_CP020765.1,29.90353697749196,3110,930,Absent,Non-transmissible
NC_005815.1,50.31132199321093,106642,53653,Absent,Non-transmissible
NZ_CP069974.1,50.90193433947328,136429,69445,Absent,Transmissible
NZ_CP010699.1,60.03199434905004,96267,57791,Absent,Transmissible
NZ_CP007745.1,62.21304332842662,203123,126369,Absent,Non-transmissible
NZ_CP056149.1,51.009440200340464,142158,72514,Absent,Transmissible
NZ_CP008952.1,62.701092353525326,25175,15785,Absent,Non-transmissible
NZ_CP017933.1,58.08558171507132,11638,6760,Absent,Transmissible
NZ_CP066387.1,36.093923528478506,6303,2275,Absent,Transmissible
NZ_CP073907.1,50.33483233942712,204580,102975,Absent,Non-transmissible
NZ_CP065659.1,27.955227955227954,32967,9216,Absent,Transmissible
NC_006391.1,60.01872422256522,39521,23720,Absent,Non-transmissible
NZ_LR723672.1,60.39891959276958,206959,125001,Absent,Transmissible
NZ_CP063886.1,52.83209645725624,104834,55386,Absent,Transmissible
NZ_OL908908.1,46.842846262146,216635,101478,Absent,Transmissible
NZ_CP045286.1,51.8041237113402,1552,804,Absent,Non-transmissible
NZ_AP022202.1,50.95582006280859,233726,119097,Absent,Non-transmissible
NZ_CP072149.1,61.0383013003565,332678,203061,Absent,Non-transmissible
NZ_MK249855.1,51.11746739710089,61881,31632,Absent,Transmissible
NZ_MZ098227.1,49.46236559139785,3348,1656,Absent,Non-transmissible
NZ_CP010000.1,30.9858472276076,82528,25572,Absent,Transmissible
NZ_CP053769.1,53.21685508735868,9730,5178,Absent,Transmissible
NZ_LC542974.1,61.43830874913467,37558,23075,Absent,Transmissible
NC_009794.1,51.276557757543294,5601,2872,Absent,Transmissible
NZ_CP045498.1,59.199451221773145,53938,31931,Absent,Non-transmissible
NC_017572.1,43.64480461957413,60958,26605,Absent,Transmissible
NZ_CP058754.1,51.45085590761261,102698,52839,Absent,Transmissible
NZ_AP017462.1,32.19531560142914,5038,1622,Absent,Non-transmissible
NZ_MT090959.1,52.35200789005381,186564,97670,Absent,Transmissible
NZ_CP053226.1,63.80477784540475,26288,16773,Absent,Transmissible
NZ_MN865122.1,53.37715675989375,89602,47827,Absent,Transmissible
NC_003270.1,40.85523054040655,40340,16481,Absent,Transmissible
NZ_CP084295.1,47.82451548576058,240705,115116,Absent,Transmissible
NZ_CP051399.1,43.02048594568842,4198,1806,Absent,Non-transmissible
NZ_CP092659.1,37.48336550896857,106706,39997,Absent,Non-transmissible
NZ_CP034046.1,47.77239534379293,345775,165185,Absent,Transmissible
NZ_CP036956.1,25.34602076124568,2312,586,Absent,Non-transmissible
NZ_CP025145.1,52.94251733061586,149158,78968,Absent,Transmissible
NZ_CP064438.1,36.87700045724737,4374,1613,Absent,Non-transmissible
NZ_LT591900.1,51.55692892797718,4207,2169,Absent,Transmissible
NZ_CP015786.1,27.22571546100957,17017,4633,Absent,Non-transmissible
NZ_MZ465532.1,51.43964733740981,161741,83199,Absent,Transmissible
NZ_AP022104.1,47.17432950191571,2088,985,Absent,Non-transmissible
NZ_CP024318.1,27.779523061545053,70030,19454,Absent,Non-transmissible
NZ_CP030350.1,51.89131942491893,106698,55367,Absent,Transmissible
NZ_CP077647.1,47.13059521321447,138757,65397,T6SS,Transmissible
NZ_CP096595.1,67.13958187076813,653817,438970,Absent,Non-transmissible
NZ_CP073833.1,28.56721698113208,13568,3876,Absent,Transmissible
NZ_CP060454.1,61.138184714868096,42682,26095,Absent,Transmissible
NZ_LR594692.1,63.71131441984858,207894,132452,Absent,Transmissible
NZ_CP012632.1,53.012656595826975,93074,49341,Absent,Transmissible
NC_025118.1,38.253901307465206,2371,907,Absent,Non-transmissible
NZ_CP061518.1,41.61762717974136,110965,46181,Absent,Non-transmissible
NZ_MN101850.1,51.588213484672174,272413,140533,Absent,Transmissible
NZ_CP093951.1,36.093923528478506,6303,2275,Absent,Transmissible
NZ_CP042487.1,43.87404580152672,5240,2299,Absent,Non-transmissible
NZ_CP047745.1,56.121195942338495,37460,21023,Absent,Non-transmissible
NZ_CP069609.1,35.926986963835155,76096,27339,Absent,Non-transmissible
NZ_CP017893.1,39.26140534684656,280614,110173,Absent,Non-transmissible
NZ_CP025946.1,46.548092674935646,12819,5967,Absent,Transmissible
NZ_CP035487.1,45.9130745841531,5591,2567,Absent,Transmissible
NZ_LC163971.1,52.26687164595522,70251,36718,Absent,Transmissible
NZ_AP022040.1,55.04577157802965,9176,5051,Absent,Transmissible
NZ_CP056166.1,50.20073926642024,87925,44139,Absent,Transmissible
NZ_LR882056.1,40.690328883099966,46065,18744,Absent,Transmissible
NZ_KT149388.1,36.62311843226356,7042,2579,Absent,Non-transmissible
NZ_CP033774.1,52.70972571825362,184336,97163,Absent,Transmissible
NC_010504.1,61.06086641946278,22114,13503,Absent,Non-transmissible
NZ_CP086548.1,45.112612612612615,4440,2003,Absent,Non-transmissible
NZ_CP036119.1,33.771594008709386,334352,112916,Absent,Non-transmissible
NZ_AP025893.1,51.61764705882353,4760,2457,Absent,Transmissible
NZ_KR350502.1,34.75599387859208,17643,6132,Absent,Transmissible
NZ_CP044980.1,32.928170488060125,262775,86527,Absent,Non-transmissible
NZ_CP087285.1,52.17806648834544,5234,2731,Absent,Transmissible
NZ_CP079209.1,49.90381909686824,216779,108181,Absent,Non-transmissible
NZ_CP036194.1,49.28733353524785,108957,53702,Absent,Non-transmissible
NC_018878.1,31.51833691630588,501911,158194,Absent,Non-transmissible
NZ_CP020911.1,60.73947422479174,978479,594323,T6SS,Transmissible
NZ_CP015884.1,32.94024781131895,125418,41313,Absent,Transmissible
NZ_CP014172.1,25.28977419077874,23294,5891,Absent,Non-transmissible
NC_012720.2,62.67589159760965,141067,88415,Absent,Transmissible
NZ_CP036838.1,35.32608695652174,552,195,Absent,Non-transmissible
NZ_CP083734.1,46.63658736669401,2438,1137,Absent,Non-transmissible
NZ_CP057036.1,53.34236989665879,86316,46043,Absent,Transmissible
NZ_CP070575.1,52.95407274158188,88945,47100,Absent,Transmissible
NZ_CP041542.1,52.33169114767833,109813,57467,Absent,Transmissible
NZ_CP055548.1,52.85049447353112,3438,1817,Absent,Transmissible
NZ_CP093408.1,47.87483857756699,302777,144954,Absent,Transmissible
NZ_CP064098.1,33.38948941165709,131182,43801,Absent,Non-transmissible
NZ_CP081829.1,48.86065044152488,162505,79401,Absent,Transmissible
NZ_CP015793.1,23.57721771955146,45035,10618,Absent,Non-transmissible
NZ_CP043008.1,49.4731930152025,40717,20144,Absent,Transmissible
