Chromosome,Chr_Size_bp,Chr_GC_count,Chr_%GC,Chr_AT_count,Chr_%AT
NC_007794.1,3561584,2320472,65.1528084133352,1241112,34.847191586664806
NC_007793.1,2872769,940860,32.75097997785412,1931909,67.24902002214588
NC_007802.1,4317977,2691489,62.33217546086976,1626488,37.66782453913024
NC_007908.1,4712337,2821716,59.879333757326776,1890621,40.12066624267322
NC_008149.1,4534590,2157740,47.58401531340209,2376850,52.41598468659791
NC_008150.1,4702289,2243048,47.701194035500585,2459241,52.298805964499415
NC_008262.1,2897393,818485,28.24901558055811,2078908,71.75098441944189
NC_007948.1,5200264,3248725,62.47230909815348,1951539,37.52769090184652
NC_007964.1,4406967,2719706,61.713781836805225,1687261,38.286218163194775
NC_007969.1,3059876,1294060,42.29125624698517,1765816,57.70874375301483
NC_008611.1,5631606,3687164,65.47269109380166,1944442,34.52730890619834
NC_008048.1,3345170,2191138,65.50154401719495,1154032,34.498455982805055
NC_008209.1,4133097,2437234,58.96871038836011,1695863,41.03128961163989
NC_008044.1,3200938,1933780,60.41291646386153,1267158,39.58708353613847
NC_008531.1,2038396,768686,37.71033695121066,1269710,62.28966304878934
NC_008497.1,2291220,1058976,46.21887029617409,1232244,53.78112970382591
NC_008532.1,1856368,725490,39.08115201296295,1130878,60.918847987037054
NC_008526.1,2895264,1349757,46.619479259922414,1545507,53.38052074007759
NC_008527.1,2438589,874374,35.85573460718473,1564215,64.14426539281527
NC_008268.1,7804765,5269452,67.51583167462441,2535313,32.48416832537559
NC_008344.1,2661057,1290247,48.48625940744599,1370810,51.51374059255401
NC_008711.1,4597686,2866335,62.34299167015755,1731351,37.65700832984245
NC_008609.1,4008000,2365689,59.024176646706586,1642311,40.97582335329341
NC_008600.1,5257091,1862382,35.42609401282953,3394709,64.57390598717046
NC_009485.1,8264687,5365447,64.92014761115576,2899240,35.079852388844245
NC_008699.1,4985871,3572474,71.65195409187281,1413397,28.34804590812719
NC_008740.1,4326849,2478079,57.27213961014124,1848770,42.72786038985876
NC_008751.1,3462887,2182032,63.01193195157682,1280855,36.98806804842318
NC_008781.1,4410291,2757539,62.52510321881255,1652752,37.474896781187454
NC_008787.1,1616554,494995,30.62038137915591,1121559,69.3796186208441
NC_008786.1,5566749,3633923,65.27908838713583,1932826,34.72091161286417
NC_008825.1,4044195,2798492,69.19775134482882,1245703,30.802248655171184
NC_009328.1,3550319,1740002,49.00973687153183,1810317,50.99026312846817
NC_009052.1,5127376,2373125,46.28342060344316,2754251,53.71657939655684
NC_011080.1,4827641,2520836,52.21672448303426,2306805,47.78327551696574
NC_011985.1,4005130,2416593,60.33744223033959,1588537,39.66255776966041
NC_011983.1,2650913,1584230,59.761674562688405,1066683,40.2383254373116
NC_011989.1,3726375,2148537,57.65756264466137,1577838,42.34243735533863
NC_011988.1,1283187,738070,57.51850665569399,545117,42.48149334430601
NC_009648.1,5315120,3055055,57.4785705684914,2260065,42.5214294315086
NC_009381.1,4517345,2152241,47.64393686999775,2365104,52.35606313000225
NC_009706.1,3964618,1269485,32.02036110414673,2695133,67.97963889585327
NC_009900.1,1360898,442882,32.54336474886436,918016,67.45663525113565
NC_009484.1,3389227,2304428,67.99273108587887,1084799,32.00726891412113
NC_009487.1,2906700,957740,32.94939278219287,1948960,67.05060721780714
NC_009708.1,4723306,2245346,47.53759337209996,2477960,52.46240662790004
NC_009699.1,3995387,1131050,28.30889723573712,2864337,71.6911027642629
NC_010079.1,2872915,941062,32.75634677670589,1931853,67.2436532232941
NC_009727.1,2158758,916086,42.43578946783289,1242672,57.56421053216711
NC_009636.1,3781904,2325956,61.50224860282017,1455948,38.49775139717983
NC_011144.1,3996255,2851183,71.34637304176034,1145072,28.653626958239656
NC_009664.2,4761183,3543988,74.43503011751491,1217195,25.564969882485087
NC_009665.1,5229686,2421996,46.312455470557886,2807690,53.687544529442114
NC_009667.1,2887297,1618356,56.05090158719384,1268941,43.949098412806165
NC_009668.1,1895911,1065936,56.22289231931246,829975,43.77710768068754
NC_009674.1,4087024,1466293,35.8767895661978,2620731,64.1232104338022
NC_009714.1,1711273,543041,31.733160051026346,1168232,68.26683994897365
NC_010842.1,3603977,1401641,38.89150790917922,2202336,61.10849209082078
NC_010845.1,277995,109178,39.27336822604723,168817,60.72663177395277
NC_009778.1,4368373,2479798,56.76708467889532,1888575,43.23291532110468
NC_010602.1,3599677,1400088,38.89482306329151,2199589,61.10517693670849
NC_010843.1,277655,109044,39.2731987538492,168611,60.7268012461508
NC_009783.1,3765351,1714986,45.546510803375305,2050365,54.453489196624695
NC_009784.1,2204018,997785,45.27118199579132,1206233,54.72881800420868
NC_009802.2,2052007,809085,39.428959063005145,1242922,60.571040936994855
NC_009801.1,4979619,2520764,50.62162386319114,2458855,49.37837613680886
NC_010546.1,4934271,1868875,37.87540246573405,3065396,62.12459753426595
NC_010547.1,429701,165730,38.56867915131684,263971,61.43132084868316
NC_009792.1,4720462,2540921,53.82780329552489,2179541,46.17219670447511
NC_009925.1,6503724,3073260,47.25385025563816,3430464,52.74614974436184
NC_009952.1,3789584,2501711,66.0154518279579,1287873,33.984548172042096
NC_010612.1,6636827,4362162,65.72661906058423,2274665,34.27338093941577
NC_012125.1,4833080,2521091,52.16323752141491,2311989,47.83676247858509
NC_010611.1,3904116,1523827,39.03129415212048,2380289,60.96870584787952
NC_010084.1,3448466,2305964,66.8692688285168,1142502,33.130731171483205
NC_010086.1,2472928,1660121,67.13179680120085,812807,32.86820319879915
NC_010087.1,919806,605004,65.7751743302392,314802,34.224825669760804
NC_010117.1,2016427,862309,42.76420619243841,1154118,57.23579380756159
NC_009997.1,5347283,2474900,46.28331808883128,2872383,53.71668191116872
NC_010159.1,4504254,2143936,47.59802622143423,2360318,52.401973778565775
NC_010184.1,5262775,1871525,35.56156210364304,3391250,64.43843789635696
NC_012039.1,1525460,453115,29.70349927235064,1072345,70.29650072764937
NC_014334.2,2861969,1331127,46.51088114511373,1530842,53.48911885488627
NC_010516.1,3958233,1121602,28.33592666222529,2836631,71.66407333777471
NC_010475.1,3008047,1492925,49.631039674579554,1515122,50.368960325420446
NC_010520.1,3992906,1130426,28.310859308984483,2862480,71.68914069101552
NC_011283.1,5641239,3231646,57.286103283339,2409593,42.71389671666101
NC_010498.1,5068389,2559368,50.496676557383424,2509021,49.503323442616576
NC_011244.1,930981,256189,27.518177062689787,674792,72.48182293731021
NC_010505.1,6077833,4345777,71.5020797708657,1732056,28.49792022913429
NC_010577.1,2535690,1312391,51.75676048728354,1223299,48.24323951271646
NC_010581.1,4170153,2379485,57.05989684311343,1790668,42.94010315688657
NC_011528.1,2063100,880394,42.67335562987737,1182706,57.32664437012263
NC_010556.1,3034136,1447838,47.71829608165224,1586298,52.28170391834776
NC_010551.1,3443583,2303703,66.89843108181218,1139880,33.10156891818782
NC_010552.1,2769414,1842831,66.54227211966142,926583,33.45772788033858
NC_010557.1,1127947,742937,65.86630400187242,385010,34.13369599812758
NC_010725.1,5800441,4024934,69.39013774987109,1775507,30.60986225012892
NC_010718.1,3165557,1149803,36.322296518432616,2015754,63.67770348156738
NC_010628.1,8234322,3410241,41.41495802568809,4824081,58.58504197431191
NC_010622.1,3479187,2192808,63.0264484202775,1286379,36.9735515797225
NC_010623.1,2697374,1681226,62.32824962352273,1016148,37.67175037647727
NC_011035.1,2232025,1168833,52.3664833503209,1063192,47.6335166496791
NC_010681.1,4467537,2795658,62.57716500165528,1671879,37.422834998344726
NC_010676.1,3625999,2250368,62.06201380640204,1375631,37.93798619359796
NC_010674.1,3800327,1045522,27.511369416368645,2754805,72.48863058363136
NC_010658.1,4615997,2369518,51.33274566686244,2246479,48.66725433313756
NC_010994.1,4513324,2783150,61.66519399006143,1730174,38.334806009938575
NC_012658.1,3977794,1122537,28.22008882310145,2855257,71.77991117689855
NC_012108.1,5589073,2730095,48.84700915518548,2858978,51.15299084481452
NC_010814.1,3917761,2145776,54.77046711118928,1771985,45.22953288881072
NC_010939.1,2331981,961065,41.21238552115133,1370916,58.78761447884867
NC_011059.1,2512923,1258852,50.09512826298299,1254071,49.90487173701701
NC_012526.1,2819842,1787446,63.38816146436574,1032396,36.61183853563426
NC_011083.1,4888768,2546391,52.08655841308076,2342377,47.91344158691924
NC_011094.1,4709075,2456919,52.17413186241459,2252156,47.82586813758541
NC_013508.1,3760463,2246290,59.73439972684215,1514173,40.26560027315785
NC_011149.1,4798660,2499343,52.08418600192554,2299317,47.91581399807446
NC_011205.1,4842908,2527011,52.17962017861996,2315897,47.82037982138005
NC_011963.1,3152792,2180980,69.17614609527048,971812,30.82385390472952
NC_011958.1,1297647,891565,68.70628144634095,406082,31.293718553659048
NC_011353.1,5572075,2815151,50.52248937783501,2756924,49.47751062216499
NC_011333.1,1652982,642914,38.89419243524733,1010068,61.10580756475267
NC_011658.1,5269030,1875312,35.59121887709882,3393718,64.40878112290119
NC_011586.2,4055148,1589712,39.20231764660624,2465436,60.79768235339376
NC_011772.1,5387334,1899804,35.26426985963744,3487530,64.73573014036256
NC_011365.1,3887492,2580442,66.3780658583992,1307050,33.6219341416008
NC_011369.1,4537948,2792242,61.530938653329656,1745706,38.46906134667034
NC_011728.1,906707,258780,28.54064212584661,647927,71.4593578741534
NC_012581.1,5230115,1850458,35.38082814622623,3379657,64.61917185377376
NC_011498.1,1673813,649590,38.80899479213031,1024223,61.19100520786969
NC_012730.1,1288492,419547,32.561086914004896,868945,67.4389130859951
NC_012440.1,1930284,717224,37.156397711424844,1213060,62.84360228857516
NC_011663.1,5145902,2383282,46.31417388049753,2762620,53.68582611950247
NC_011959.1,2003006,1274854,63.6470385011328,728152,36.3529614988672
NC_011662.2,4496212,3075598,68.4042033605177,1420614,31.5957966394823
NC_011773.1,5302683,1877072,35.398533157648686,3425611,64.60146684235131
NC_011726.1,4679413,1860588,39.76114098071702,2818825,60.23885901928298
NC_011729.1,5942652,2294396,38.60895775152238,3648256,61.39104224847762
NC_011757.1,5777908,3941135,68.21041456527172,1836773,31.78958543472828
NC_014034.1,3738958,2488721,66.56188702841808,1250237,33.43811297158192
NC_011886.1,4395537,2913350,66.27972873394081,1482187,33.720271266059186
NC_011894.1,7772460,5351902,68.85724725505182,2420558,31.142752744948183
NC_012225.1,3000694,812070,27.06273948626551,2188624,72.93726051373449
NC_016856.1,4870265,2542102,52.19637945779131,2328163,47.80362054220869
NC_013008.1,5528136,2792086,50.50682544713082,2736050,49.49317455286918
NC_017328.1,4650856,2364964,50.8500800712815,2285892,49.1499199287185
NC_012034.1,2919718,1026937,35.172472136007656,1892781,64.82752786399234
NC_012472.1,5269628,1867583,35.44050927314034,3402045,64.55949072685965
NC_013454.1,636850,172852,27.141713119258853,463998,72.85828688074115
NC_012724.2,3906507,2660771,68.11125642421734,1245736,31.88874357578265
NC_012721.2,2827333,1944217,68.76505172896154,883116,31.234948271038466
NC_012808.1,5511322,3786806,68.70957639564519,1724516,31.29042360435481
NC_012846.1,2341328,891045,38.0572478525008,1450283,61.9427521474992
NC_017154.1,4640720,2210190,47.62601492871796,2430530,52.37398507128204
NC_014029.1,4553586,2171098,47.67886232960133,2382488,52.32113767039867
NC_012659.1,5227419,1849312,35.3771526636759,3378107,64.6228473363241
NC_012590.1,2790189,1691808,60.634172093718384,1098381,39.365827906281616
NC_012633.1,1278540,414239,32.39937741486383,864301,67.60062258513616
NC_012850.1,4767043,2912066,61.08747078639736,1854977,38.912529213602646
NC_012969.1,2995511,1643350,54.86042281266869,1352161,45.13957718733131
NC_012982.1,3455622,1562982,45.23012065555781,1892640,54.76987934444219
NC_013171.1,1883067,679199,36.06876441464908,1203868,63.93123558535092
NC_017285.1,1241020,503232,40.54987026800535,737788,59.45012973199465
NC_013355.1,2124771,995007,46.82890532673874,1129764,53.17109467326126
NC_013205.1,3018755,1881729,62.33460482881188,1137026,37.66539517118812
NC_013223.1,2864304,1648122,57.540051614633086,1216182,42.459948385366914
NC_013517.1,4418842,1478173,33.4515920686913,2940669,66.5484079313087
NC_013515.1,1662578,437500,26.314554865997263,1225078,73.68544513400273
NC_013450.1,2824404,927466,32.83758272541747,1896938,67.16241727458254
NC_013385.1,2129237,1265798,59.44843152734994,863439,40.55156847265006
NC_013960.1,4079427,2104332,51.58400922482496,1975095,48.41599077517504
NC_013441.1,5208602,3493535,67.07241213669234,1715067,32.927587863307664
NC_013501.1,3261604,2104945,64.53711118823745,1156659,35.462888811762554
NC_013595.1,10341314,7328538,70.86660360569266,3012776,29.13339639430734
NC_013530.1,3742776,2713048,72.48758675378916,1029728,27.51241324621084
NC_013656.1,2598144,907019,34.910266713469305,1691125,65.0897332865307
NC_013941.1,5386352,2721350,50.5230627333676,2665002,49.476937266632405
NC_017279.1,1635045,499766,30.565886565813173,1135279,69.43411343418683
NC_013851.1,3526903,2270360,64.37262380054115,1256543,35.62737619945885
NC_013889.1,2744800,1808041,65.87150247741184,936759,34.12849752258816
NC_014121.1,5314581,2911683,54.78668967506564,2402898,45.21331032493436
NC_014019.1,5097129,1949999,38.2568108439084,3147130,61.7431891560916
NC_006138.1,3523383,1649338,46.81120389126019,1874045,53.18879610873981
NC_006513.1,4296230,2797768,65.12146696056776,1498462,34.87853303943224
NC_003228.3,5205140,2248130,43.19057700657427,2957010,56.80942299342573
NC_010694.1,3883467,2086658,53.7318329214591,1796809,46.2681670785409
NC_011740.1,4588711,2291437,49.93639826086236,2297274,50.06360173913764
NC_011742.1,5032268,2550402,50.68096532219667,2481866,49.31903467780333
NC_010471.1,1796284,700355,38.98910194601744,1095929,61.01089805398256
NC_020133.1,6208955,4074007,65.61501895246462,2134948,34.384981047535376
NC_013199.1,2968598,1387651,46.744321730325225,1580947,53.255678269674775
NC_011601.1,4965553,2510889,50.56615043681943,2454664,49.43384956318057
NC_012926.1,2146229,881344,41.064769882431,1264885,58.935230117569
NC_017331.1,3043210,997608,32.781438021037,2045602,67.21856197896301
NC_013716.1,5346659,2925812,54.72224804312376,2420847,45.27775195687624
NC_017626.1,5241977,2650499,50.56296507977811,2591478,49.43703492022189
NC_013971.1,3805874,2039956,53.60019800970815,1765918,46.39980199029185
NC_012214.1,4026322,2150924,53.421559428182846,1875398,46.578440571817154
NC_006155.1,4744671,2258956,47.61038225832729,2485715,52.38961774167271
NC_006368.1,3503610,1344403,38.3719363741969,2159207,61.6280636258031
NC_006369.1,3345687,1285245,38.41498024172614,2060442,61.58501975827386
NC_008011.1,1457619,485161,33.2844865496402,972458,66.7155134503598
NC_009480.1,3297891,2396387,72.66422692563216,901504,27.33577307436784
NC_009495.1,3886916,1097847,28.244680358412683,2789069,71.75531964158732
NC_010125.1,3944163,2620151,66.43110337985524,1324012,33.56889662014476
NC_010397.1,5067172,3249629,64.13101824844311,1817543,35.86898175155689
NC_010407.1,3258645,2364348,72.55616981905055,894297,27.443830180949448
NC_010410.1,3936291,1550111,39.3799899448491,2386180,60.6200100551509
NC_010554.1,4063606,1580730,38.89968663300527,2482876,61.10031336699473
NC_012988.1,5943768,4046989,68.08793681045424,1896779,31.91206318954576
NC_013722.1,3768695,2373396,62.97660065354187,1395299,37.02339934645813
NC_014032.1,3619447,2393093,66.11764172814244,1226354,33.882358271857555
NC_008513.1,416380,83680,20.097026754407032,332700,79.90297324559296
NC_013361.1,5697240,2887636,50.68482282649143,2809604,49.31517717350857
NC_014006.1,3514822,2276141,64.75835760672945,1238681,35.24164239327055
NC_014013.1,681892,449616,65.93654127046511,232276,34.06345872953489
NC_013504.1,1755993,605566,34.48567277887782,1150427,65.51432722112219
NC_006461.1,1849742,1285901,69.51785708493401,563841,30.482142915065992
NC_013961.1,3805573,2039861,53.60194115314566,1765712,46.39805884685434
NC_013861.1,4077332,1513169,37.11174365982461,2564163,62.88825634017539
NC_003062.2,2841580,1687194,59.37520675117364,1154386,40.62479324882636
NC_003063.2,2075577,1230313,59.27570983875809,845264,40.72429016124191
NC_007761.1,4381608,2684708,61.27220874163093,1696900,38.72779125836907
NC_014148.1,5423075,2910110,53.66162186582336,2512965,46.33837813417664
NC_014212.1,3249394,2026440,62.36362841809888,1222954,37.63637158190112
NC_014171.1,5330088,1880903,35.28840424398246,3449185,64.71159575601754
NC_014158.1,4379918,2996432,68.41297028848486,1383486,31.587029711515143
NC_017434.1,1042522,430639,41.30742564665302,611883,58.69257435334698
NC_014136.1,2002721,761025,37.99955161003455,1241696,62.00044838996545
NC_007384.1,4825265,2461356,51.00975801329046,2363909,48.99024198670954
NC_014225.1,2116312,926525,43.78017040965605,1189787,56.21982959034396
NC_014117.1,3518940,2255637,64.09989940152433,1263303,35.900100598475674
NC_014118.1,2593966,1640163,63.22993439389722,953803,36.770065606102776
NC_014119.1,1282816,803269,62.617631834963085,479547,37.38236816503692
NC_017436.1,1042520,430639,41.30750489199248,611881,58.69249510800752
NC_014109.1,574390,163601,28.48256411149219,410789,71.5174358885078
NC_013766.2,3032624,1151072,37.95630450725181,1881552,62.04369549274819
NC_013418.2,636994,179702,28.210940762393367,457292,71.78905923760664
NC_017355.1,1588278,618990,38.972396520004686,969288,61.027603479995314
NC_014315.1,3328570,1668197,50.11752794743689,1660373,49.88247205256311
NC_017481.1,1828169,601426,32.89772444451251,1226743,67.1022755554875
NC_014335.1,5196054,1838374,35.38019427819649,3357680,64.61980572180352
NC_018581.1,5441391,3687403,67.76581576291798,1753988,32.23418423708202
NC_017338.1,2811435,922345,32.80691177281353,1889090,67.19308822718648
NC_014387.1,3554804,1429477,40.21254055075892,2125327,59.78745944924109
NC_014388.1,302358,121076,40.04392144411592,181282,59.95607855588408
NZ_CP047260.1,6115755,3591378,58.72337920665559,2524377,41.27662079334441
NZ_CP042804.1,6133558,3560416,58.04813454115865,2573142,41.95186545884135
NZ_CP031225.1,6075120,3538700,58.24905516269637,2536420,41.75094483730363
NC_020419.1,1125857,396385,35.20740200576095,729472,64.79259799423906
NC_004347.2,4969811,2284169,45.96088261706532,2685642,54.03911738293469
NC_012778.1,2144190,808631,37.712656061263225,1335559,62.287343938736775
NC_013416.2,2105791,938196,44.5531394141204,1167595,55.446860585879605
NC_017309.1,3684607,2203647,59.8068396439566,1480960,40.1931603560434
NC_014501.1,6091620,2450205,40.22255163651049,3641415,59.77744836348951
NC_017934.1,2974229,1351820,45.45110682465943,1622409,54.54889317534057
NC_017571.1,5066051,2340100,46.1917971216634,2725951,53.8082028783366
NC_017322.1,3671982,2305558,62.78783501662045,1366424,37.21216498337955
NC_015590.1,3820344,2394091,62.66689596538951,1426253,37.33310403461049
NC_015596.1,1680879,1048404,62.37236588713405,632475,37.62763411286595
NC_015591.1,1312480,787032,59.96525661343411,525448,40.03474338656589
NC_015957.1,10657107,7563271,70.96926961510286,3093836,29.03073038489714
NC_015593.1,3080818,1967324,63.85719636797759,1113494,36.14280363202241
NC_015594.1,1368670,870530,63.60408279570678,498140,36.39591720429322
NC_017631.1,5131397,2595663,50.583944294312055,2535734,49.416055705687945
NC_017632.1,4993013,2525437,50.57941968106232,2467576,49.42058031893768
NC_014554.1,3254376,1450690,44.57659471431697,1803686,55.42340528568303
NC_014555.1,1629557,634588,38.94236286303578,994969,61.05763713696422
NC_017359.1,1560342,610365,39.117385803881454,949977,60.88261419611855
NC_014562.1,4024986,2235796,55.54791991823077,1789190,44.45208008176923
NC_018286.1,3758274,2246488,59.774460297466334,1511786,40.22553970253367
NC_018290.1,3821831,2287032,59.84126456664358,1534799,40.15873543335642
NC_015730.1,4505211,2577259,57.20617746871345,1927952,42.79382253128655
NC_022112.1,2939026,1363506,46.39312479712667,1575520,53.60687520287333
NC_020911.1,4812600,2629599,54.63988280762997,2183001,45.360117192370026
NC_020908.1,5200279,2873503,55.25670834199473,2326776,44.74329165800527
NC_022240.1,2233640,1169593,52.362645726258485,1064047,47.63735427374152
NZ_CP046035.1,5662937,3278288,57.890243172403295,2384649,42.10975682759671
NC_022663.1,6432277,4260711,66.23954472109955,2171566,33.76045527890045
